Time,Result ID,URL,Load zone,User scenario,Status code,RTT min,RTT max,RTT avg,Count,Value,Method,Content types,Compressed count,Avg content length,Avg compressed content length,Content type,Custom metric/Page title,Custom metric type,Log severity level,Log message,Standard deviation,Median
2018-05-29 20:13:42.177034+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,73.0,,,,,,,,,,,,
2018-05-29 20:13:45.197298+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,74.0,,,,,,,,,,,,
2018-05-29 20:13:48.216861+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,75.0,,,,,,,,,,,,
2018-05-29 20:13:51.236982+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,76.0,,,,,,,,,,,,
2018-05-29 20:13:54.255900+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,77.0,,,,,,,,,,,,
2018-05-29 20:13:57.279952+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,78.0,,,,,,,,,,,,
2018-05-29 20:14:00.298303+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,79.0,,,,,,,,,,,,
2018-05-29 20:14:03.319658+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,80.0,,,,,,,,,,,,
2018-05-29 20:14:06.337030+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,81.0,,,,,,,,,,,,
2018-05-29 20:14:09.359021+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,82.0,,,,,,,,,,,,
2018-05-29 20:14:12.378777+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,83.0,,,,,,,,,,,,
2018-05-29 20:14:15.399859+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,84.0,,,,,,,,,,,,
2018-05-29 20:14:18.419693+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,85.0,,,,,,,,,,,,
2018-05-29 20:14:21.438748+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,86.0,,,,,,,,,,,,
2018-05-29 20:14:24.457035+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,87.0,,,,,,,,,,,,
2018-05-29 20:14:27.476115+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,88.0,,,,,,,,,,,,
2018-05-29 20:14:30.496606+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,89.0,,,,,,,,,,,,
2018-05-29 20:14:33.517042+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,90.0,,,,,,,,,,,,
2018-05-29 20:14:36.537646+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,91.0,,,,,,,,,,,,
2018-05-29 20:14:39.556301+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,92.0,,,,,,,,,,,,
2018-05-29 20:14:42.576987+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,93.0,,,,,,,,,,,,
2018-05-29 20:14:45.595446+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,94.0,,,,,,,,,,,,
2018-05-29 20:14:48.616781+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,95.0,,,,,,,,,,,,
2018-05-29 20:14:51.637028+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,96.33333333333334,,,,,,,,,,,,
2018-05-29 20:14:54.660753+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,97.33333333333334,,,,,,,,,,,,
2018-05-29 20:14:57.679812+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,98.33333333333333,,,,,,,,,,,,
2018-05-29 20:15:00.701767+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,99.33333333333333,,,,,,,,,,,,
2018-05-29 20:15:03.720456+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,100.0,,,,,,,,,,,,
2018-05-29 20:10:04.821610+00:00,__li_content_type,,Aggregated (World),,,,,,,,,text/html=1,,,,,,,,,,
2018-05-29 20:10:07.833030+00:00,__li_content_type,,Aggregated (World),,,,,,,,,image/png=1|image/jpeg=1,,,,,,,,,,
2018-05-29 20:10:07.833030+00:00,__li_content_type_load_time,,Aggregated (World),,,724.43,1408.75,1066.59,2,,,,,,,image/png,,,,,,
2018-05-29 20:10:07.833030+00:00,__li_content_type_load_time,,Aggregated (World),,,49.32,876.87,463.09,2,,,,,,,image/jpeg,,,,,,
2018-05-29 20:10:07.833030+00:00,__li_content_type_load_time,,Aggregated (World),,,76.59,747.17,411.88,2,,,,,,,text/html,,,,,,
2018-05-29 20:10:13.878353+00:00,__li_content_type_load_time,,Aggregated (World),,,88.75,88.75,88.75,1,,,,,,,image/png,,,,,,
2018-05-29 20:10:13.878353+00:00,__li_content_type_load_time,,Aggregated (World),,,47.83,47.83,47.83,1,,,,,,,image/jpeg,,,,,,
2018-05-29 20:10:13.878353+00:00,__li_content_type_load_time,,Aggregated (World),,,80.72,80.72,80.72,1,,,,,,,text/html,,,,,,
2018-05-29 20:10:19.914247+00:00,__li_content_type_load_time,,Aggregated (World),,,133.99,133.99,133.99,1,,,,,,,image/png,,,,,,
2018-05-29 20:10:19.914247+00:00,__li_content_type_load_time,,Aggregated (World),,,46.07,46.07,46.07,1,,,,,,,image/jpeg,,,,,,
2018-05-29 20:10:19.914247+00:00,__li_content_type_load_time,,Aggregated (World),,,70.62,70.62,70.62,1,,,,,,,text/html,,,,,,
2018-05-29 20:10:25.948638+00:00,__li_content_type_load_time,,Aggregated (World),,,106.3,106.3,106.3,1,,,,,,,image/png,,,,,,
2018-05-29 20:10:25.948638+00:00,__li_content_type_load_time,,Aggregated (World),,,56.2,56.2,56.2,1,,,,,,,image/jpeg,,,,,,
2018-05-29 20:10:25.948638+00:00,__li_content_type_load_time,,Aggregated (World),,,86.4,86.4,86.4,1,,,,,,,text/html,,,,,,
2018-05-29 20:10:31.982454+00:00,__li_content_type_load_time,,Aggregated (World),,,105.88,106.24,106.06,2,,,,,,,image/png,,,,,,
